data;id;humidite;direction_du_vecteur_de_vent_max;pluie_intensite_max;pression;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_rafale_de_vent_max;force_moyenne_du_vecteur_vent;force_rafale_max;temperature;heure_de_paris;heure_utc
1126028f927803606d5a2000;8;79;13;0.0;100600;108;ISS;0.0;292.5;3;8;12.4;2019-09-06T06:45:00+02:00;2019-09-06T04:45:00+00:00
112602ef828800000d600000;8;81;0;0.0;100700;0;ISS;0.0;0.0;0;0;12.0;2019-09-06T07:30:00+02:00;2019-09-06T05:30:00+00:00
1126030f668800000d781400;8;81;12;0.0;100700;0;ISS;0.0;270.0;0;5;11.9;2019-09-06T07:45:00+02:00;2019-09-06T05:45:00+00:00
112603d00a5003f08d783400;8;74;12;0.0;100700;126;ISS;0.0;270.0;4;13;14.2;2019-09-06T09:15:00+02:00;2019-09-06T07:15:00+00:00
112604104a200400cd7c3800;8;68;14;0.0;100700;128;ISS;0.0;315.0;6;14;15.2;2019-09-06T09:45:00+02:00;2019-09-06T07:45:00+00:00
1126045066000400cd7c3400;8;64;14;0.0;100700;128;ISS;0.0;315.0;6;13;15.9;2019-09-06T10:15:00+02:00;2019-09-06T08:15:00+00:00
112604b0c5e003a0ad784000;8;60;12;0.0;100700;116;ISS;0.0;270.0;5;16;17.1;2019-09-06T11:00:00+02:00;2019-09-06T09:00:00+00:00
11260571556003d0ed784c00;8;44;12;0.0;100700;122;ISS;0.0;270.0;7;19;19.5;2019-09-06T12:30:00+02:00;2019-09-06T10:30:00+00:00
112606119d3803b0ed5c5400;8;39;14;0.0;100600;118;ISS;0.0;315.0;7;21;20.7;2019-09-06T13:45:00+02:00;2019-09-06T11:45:00+00:00
11260691c93004d0ad5a4000;8;38;13;0.0;100600;154;ISS;0.0;292.5;5;16;21.2;2019-09-06T14:45:00+02:00;2019-09-06T12:45:00+00:00
112606b1d53004310d5c6800;8;38;14;0.0;100600;134;ISS;0.0;315.0;8;26;21.5;2019-09-06T15:00:00+02:00;2019-09-06T13:00:00+00:00
11260711e1280400ad3a4800;8;37;13;0.0;100500;128;ISS;0.0;292.5;5;18;21.8;2019-09-06T15:45:00+02:00;2019-09-06T13:45:00+00:00
112607b2092003c0ed3a4c00;8;36;13;0.0;100500;120;ISS;0.0;292.5;7;19;22.2;2019-09-06T17:00:00+02:00;2019-09-06T15:00:00+00:00
11260852092804012d3a5800;8;37;13;0.0;100500;128;ISS;0.0;292.5;9;22;22.2;2019-09-06T18:15:00+02:00;2019-09-06T16:15:00+00:00
112608d2013003e0ed1a5400;8;38;13;0.0;100400;124;ISS;0.0;292.5;7;21;22.0;2019-09-06T19:15:00+02:00;2019-09-06T17:15:00+00:00
11260911d53803f0cd383800;8;39;12;0.0;100500;126;ISS;0.0;270.0;6;14;21.5;2019-09-06T19:45:00+02:00;2019-09-06T17:45:00+00:00
11260971896003608d382c00;8;44;12;0.0;100500;108;ISS;0.0;270.0;4;11;20.2;2019-09-06T20:30:00+02:00;2019-09-06T18:30:00+00:00
11260b1089c803802d5a1800;8;57;13;0.0;100600;112;ISS;0.0;292.5;1;6;16.2;2019-09-06T23:45:00+02:00;2019-09-06T21:45:00+00:00
112608b2052803b0ed384c00;8;37;12;0.0;100500;118;ISS;0.0;270.0;7;19;22.1;2019-09-06T19:00:00+02:00;2019-09-06T17:00:00+00:00
11260bd019f000000d400000;8;62;0;0.0;100600;0;ISS;0.0;0.0;0;0;14.6;2019-09-07T01:15:00+02:00;2019-09-06T23:15:00+00:00
1127014f8e3800000d400000;8;71;0;0.0;100600;0;ISS;0.0;0.0;0;0;12.3;2019-09-07T04:15:00+02:00;2019-09-07T02:15:00+00:00
1127012f8e3000000d400000;8;70;0;0.0;100600;0;ISS;0.0;0.0;0;0;12.3;2019-09-07T04:00:00+02:00;2019-09-07T02:00:00+00:00
1127018f665000000d400000;8;74;0;0.0;100600;0;ISS;0.0;0.0;0;0;11.9;2019-09-07T04:45:00+02:00;2019-09-07T02:45:00+00:00
1127034f429800000d5a0800;8;83;13;0.0;100600;0;ISS;0.0;292.5;0;2;11.0;2019-09-07T08:15:00+02:00;2019-09-07T06:15:00+00:00
1127032f1e9800000d5a0c00;8;83;13;0.0;100600;0;ISS;0.0;292.5;0;3;10.7;2019-09-07T08:00:00+02:00;2019-09-07T06:00:00+00:00
1127036f569003802d5a1400;8;82;13;0.0;100600;112;ISS;0.0;292.5;1;5;11.5;2019-09-07T08:30:00+02:00;2019-09-07T06:30:00+00:00
112703efce600330ad582c00;8;76;12;0.0;100600;102;ISS;0.0;270.0;5;11;13.3;2019-09-07T09:30:00+02:00;2019-09-07T07:30:00+00:00
112704f0ddd803b0ad583400;8;59;12;0.0;100600;118;ISS;0.0;270.0;5;13;17.7;2019-09-07T11:30:00+02:00;2019-09-07T09:30:00+00:00
112705f1a15003512d3c5400;8;42;14;0.0;100500;106;ISS;0.0;315.0;9;21;20.8;2019-09-07T13:30:00+02:00;2019-09-07T11:30:00+00:00
11270671dd380310ed185800;8;39;12;0.0;100400;98;ISS;0.0;270.0;7;22;21.7;2019-09-07T14:30:00+02:00;2019-09-07T12:30:00+00:00
11270692014003410d185400;8;40;12;0.0;100400;104;ISS;0.0;270.0;8;21;22.0;2019-09-07T14:45:00+02:00;2019-09-07T12:45:00+00:00
11270732412003214cfc6000;8;36;14;0.0;100300;100;ISS;0.0;315.0;10;24;23.0;2019-09-07T16:00:00+02:00;2019-09-07T14:00:00+00:00
11270852457003710cf85400;8;46;12;0.0;100300;110;ISS;0.0;270.0;8;21;23.1;2019-09-07T18:15:00+02:00;2019-09-07T16:15:00+00:00
112708b215880410ccfa4000;8;49;13;0.0;100300;130;ISS;0.0;292.5;6;16;22.5;2019-09-07T19:00:00+02:00;2019-09-07T17:00:00+00:00
