data;id;humidite;direction_du_vecteur_de_vent_max;pluie_intensite_max;pression;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_rafale_de_vent_max;force_moyenne_du_vecteur_vent;force_rafale_max;temperature;heure_de_paris;heure_utc
5326028fa21004302dac0c00;41;66;6;0.0;100900;134;ISS;0.0;135.0;1;3;12.8;2019-09-06T06:45:00+02:00;2019-09-06T04:45:00+00:00
532603afde080aa06dda3400;41;65;13;0.0;101000;340;ISS;0.0;292.5;3;13;13.7;2019-09-06T09:00:00+02:00;2019-09-06T07:00:00+00:00
532603d006000aa06ddc3400;41;64;14;0.0;101000;340;ISS;0.0;315.0;3;13;14.1;2019-09-06T09:15:00+02:00;2019-09-06T07:15:00+00:00
5326045089c00a306dda3400;41;56;13;0.0;101000;326;ISS;0.0;292.5;3;13;16.2;2019-09-06T10:15:00+02:00;2019-09-06T08:15:00+00:00
5326055185300a606dda3400;41;38;13;0.0;101000;332;ISS;0.0;292.5;3;13;20.1;2019-09-06T12:15:00+02:00;2019-09-06T10:15:00+00:00
5326057195280a406dda2800;41;37;13;0.0;101000;328;ISS;0.0;292.5;3;10;20.5;2019-09-06T12:30:00+02:00;2019-09-06T10:30:00+00:00
532605b1a5080a406dbc4800;41;33;14;0.0;100900;328;ISS;0.0;315.0;3;18;20.9;2019-09-06T13:00:00+02:00;2019-09-06T11:00:00+00:00
532605f1d4f80a406dba4800;41;31;13;0.0;100900;328;ISS;0.0;292.5;3;18;21.5;2019-09-06T13:30:00+02:00;2019-09-06T11:30:00+00:00
53260611d8f80a108dba3400;41;31;13;0.0;100900;322;ISS;0.0;292.5;4;13;21.6;2019-09-06T13:45:00+02:00;2019-09-06T11:45:00+00:00
532607d220f00ab08d943800;41;30;10;0.0;100800;342;ISS;0.0;225.0;4;14;22.8;2019-09-06T17:15:00+02:00;2019-09-06T15:15:00+00:00
53260b50a1600a304dba1800;41;44;13;0.0;100900;326;ISS;0.0;292.5;2;6;16.8;2019-09-07T00:15:00+02:00;2019-09-06T22:15:00+00:00
53260b90917008c02da41400;41;46;2;0.0;100900;280;ISS;0.0;45.0;1;5;16.4;2019-09-07T00:45:00+02:00;2019-09-06T22:45:00+00:00
532606b1e1000a80adbe4000;41;32;15;0.0;100900;336;ISS;0.0;337.5;5;16;21.8;2019-09-06T15:00:00+02:00;2019-09-06T13:00:00+00:00
53260ab0e5480b302db81800;41;41;12;0.0;100900;358;ISS;0.0;270.0;1;6;17.9;2019-09-06T23:00:00+02:00;2019-09-06T21:00:00+00:00
5327018f8df000000da00000;41;62;0;0.0;100900;0;ISS;0.0;0.0;0;0;12.3;2019-09-07T04:45:00+02:00;2019-09-07T02:45:00+00:00
532701af89f000000da00000;41;62;0;0.0;100900;0;ISS;0.0;0.0;0;0;12.2;2019-09-07T05:00:00+02:00;2019-09-07T03:00:00+00:00
531602f01e7804900d6a0c00;41;79;5;0.0;100700;146;ISS;0.0;112.5;0;3;14.7;2019-08-22T07:30:00+02:00;2019-08-22T05:30:00+00:00
531604f2198809f04d922000;41;49;9;0.0;100800;318;ISS;0.0;202.5;2;8;22.6;2019-08-22T11:30:00+02:00;2019-08-22T09:30:00+00:00
531607f398e00a706d583800;41;28;12;0.0;100600;334;ISS;0.0;270.0;3;14;28.6;2019-08-22T17:30:00+02:00;2019-08-22T15:30:00+00:00
53110310ce5004e00cca0c00;41;74;5;0.0;100200;156;ISS;0.0;112.5;0;3;17.3;2019-08-17T07:45:00+02:00;2019-08-17T05:45:00+00:00
531108948d0809702c5a1800;41;33;13;0.0;99800;302;ISS;0.0;292.5;1;6;32.3;2019-08-17T18:45:00+02:00;2019-08-17T16:45:00+00:00
531109b3a16000000c400000;41;44;0;0.0;99800;0;ISS;0.0;0.0;0;0;28.8;2019-08-17T21:00:00+02:00;2019-08-17T19:00:00+00:00
53110a93259804902c4a1400;41;51;5;0.0;99800;146;ISS;0.0;112.5;1;5;26.9;2019-08-17T22:45:00+02:00;2019-08-17T20:45:00+00:00
531200b2167004d08c084800;41;78;4;0.0;99600;154;ISS;0.0;90.0;4;18;22.5;2019-08-18T03:00:00+02:00;2019-08-18T01:00:00+00:00
53120b125e100a60acda4000;41;66;13;0.0;100200;332;ISS;0.0;292.5;5;16;23.7;2019-08-18T23:45:00+02:00;2019-08-18T21:45:00+00:00
5313013112400aa06d1a2c00;41;72;13;0.0;100400;340;ISS;0.0;292.5;3;11;18.4;2019-08-19T04:00:00+02:00;2019-08-19T02:00:00+00:00
53130390da600a804d5a2c00;41;76;13;0.0;100600;336;ISS;0.0;292.5;2;11;17.6;2019-08-19T08:45:00+02:00;2019-08-19T06:45:00+00:00
531304f181d009202d5a2800;41;58;13;0.0;100600;292;ISS;0.0;292.5;1;10;20.0;2019-08-19T11:30:00+02:00;2019-08-19T09:30:00+00:00
