star;role;movie;year
Peter Sellers;Evelyn Tremble (James Bond - 007);Casino Royale;1967
Ursula Andress;Vesper Lynd (007);Casino Royale;1967
David Niven;Sir James Bond;Casino Royale;1967
Orson Welles;Le Chiffre;Casino Royale;1967
Joanna Pettet;Mata Bond;Casino Royale;1967
Daliah Lavi;The Detainer (007);Casino Royale;1967
Woody Allen;Jimmy Bond (Dr. Noah);Casino Royale;1967
Deborah Kerr;Agent Mimi (Alias Lady Fiona);Casino Royale;1967
William Holden;Ransome;Casino Royale;1967
Charles Boyer;Le Grand;Casino Royale;1967
John Huston;McTarry (M);Casino Royale;1967
Kurt Kasznar;Smernov;Casino Royale;1967
Jean-Paul Belmondo;French Legionnaire;Casino Royale;1967
Terence Cooper;Cooper (James Bond - 007);Casino Royale;1967
Barbara Bouchet;Moneypenny;Casino Royale;1967
Jacqueline Bisset;Miss Goodthighs;Casino Royale;1967
Alexandra Bastedo;Meg;Casino Royale;1967
Anna Quayle;Frau Hoffner;Casino Royale;1967
Derek Nimmo;Hadley;Casino Royale;1967
Geoffrey Bayldon;Q;Casino Royale;1967
Sean Connery;James Bond;Dr. No;
Ursula Andress;Honey Ryder;Dr. No;
Joseph Wiseman;Dr. No;Dr. No;
Jack Lord;Felix Leiter;Dr. No;
Bernard Lee;M.;Dr. No;
Anthony Dawson;Professor Dent;Dr. No;
Zena Marshall;Miss Taro;Dr. No;
John Kitzmiller;Quarrel;Dr. No;
Eunice Gayson;Sylvia Trench;Dr. No;
Lois Maxwell;Miss Moneypenny;Dr. No;
Peter Burton;Major Boothroyd;Dr. No;
Yvonne Shima;Sister Lily;Dr. No;
Michel Mok;Sister Rose;Dr. No;
Marguerite LeWars;Photographer;Dr. No;
William Foster-Davis;Superintendent;Dr. No;
Sean Connery;James Bond;From Russia with Love;
Daniela Bianchi;Tatiana Romanova;From Russia with Love;
Pedro Armendáriz;Kerim Bey;From Russia with Love;
Lotte Lenya;Rosa Klebb;From Russia with Love;
Robert Shaw;Grant;From Russia with Love;
Bernard Lee;M;From Russia with Love;
Eunice Gayson;Sylvia Trench;From Russia with Love;
Walter Gotell;Morzeny;From Russia with Love;
Francis de Wolff;Vavra;From Russia with Love;
George Pastell;Train Conductor;From Russia with Love;
Nadja Regin;Kerim's Girl;From Russia with Love;
Lois Maxwell;Miss Moneypenny;From Russia with Love;
Aliza Gur;Vida;From Russia with Love;
Martine Beswick;Zora;From Russia with Love;
Vladek Sheybal;Kronsteen;From Russia with Love;
Sean Connery;James Bond;Goldfinger;
Gert Fröbe;Goldfinger;Goldfinger;
Honor Blackman;Pussy Galore;Goldfinger;
Shirley Eaton;Jill Masterson;Goldfinger;
Tania Mallet;Tilly Masterson;Goldfinger;
Harold Sakata;Oddjob;Goldfinger;
Bernard Lee;M;Goldfinger;
Martin Benson;Solo;Goldfinger;
Cec Linder;Felix Leiter;Goldfinger;
Austin Willis;Simmons;Goldfinger;
Lois Maxwell;Moneypenny;Goldfinger;
Bill Nagy;Midnight;Goldfinger;
Michael Mellinger;Kisch;Goldfinger;
Peter Cranwell;Johnny;Goldfinger;
Nadja Regin;Bonita;Goldfinger;
Sean Connery;James Bond;Thunderball;
Claudine Auger;Domino;Thunderball;
Adolfo Celi;Largo;Thunderball;
Luciana Paluzzi;Fiona;Thunderball;
Rik Van Nutter;Felix Leiter;Thunderball;
Guy Doleman;Count Lippe;Thunderball;
Molly Peters;Patricia;Thunderball;
Martine Beswick;Paula;Thunderball;
Bernard Lee;M;Thunderball;
Desmond Llewelyn;Q;Thunderball;
Lois Maxwell;Moneypenny;Thunderball;
Roland Culver;Foreign Secretary;Thunderball;
Earl Cameron;Pinder;Thunderball;
Paul Stassino;Palazzi;Thunderball;
Rose Alba;Madame Boitier;Thunderball;
Sean Connery;James Bond;You Only Live Twice;
Akiko Wakabayashi;Aki;You Only Live Twice;
Mie Hama;Kissy Suzuki;You Only Live Twice;
Tetsurô Tanba;Tiger Tanaka;You Only Live Twice;
Teru Shimada;Mr. Osato;You Only Live Twice;
Karin Dor;Helga Brandt;You Only Live Twice;
Donald Pleasence;Blofeld;You Only Live Twice;
Bernard Lee;M;You Only Live Twice;
Lois Maxwell;Miss Moneypenny;You Only Live Twice;
Desmond Llewelyn;Q;You Only Live Twice;
Charles Gray;Henderson;You Only Live Twice;
Tsai Chin;"Ling; Chinese Girl in Hong Kong";You Only Live Twice;
Peter Fanene Maivia;Car Driver;You Only Live Twice;
Burt Kwouk;Spectre 3;You Only Live Twice;
Michael Chow;Spectre 4;You Only Live Twice;
George Lazenby;James Bond;On Her Majestys Secret Service;
Diana Rigg;Tracy;On Her Majestys Secret Service;
Telly Savalas;Blofeld;On Her Majestys Secret Service;
Gabriele Ferzetti;Draco;On Her Majestys Secret Service;
Ilse Steppat;Irma Bunt;On Her Majestys Secret Service;
Lois Maxwell;Moneypenny;On Her Majestys Secret Service;
George Baker;Sir Hilary Bray;On Her Majestys Secret Service;
Bernard Lee;M;On Her Majestys Secret Service;
Bernard Horsfall;Campbell;On Her Majestys Secret Service;
Desmond Llewelyn;Q;On Her Majestys Secret Service;
Yuri Borienko;Grunther;On Her Majestys Secret Service;
Virginia North;Olympe;On Her Majestys Secret Service;
Geoffrey Cheshire;Toussaint;On Her Majestys Secret Service;
Irvin Allen;Che Che;On Her Majestys Secret Service;
Terence Mountain;Raphael;On Her Majestys Secret Service;
Sean Connery;James Bond;Diamonds Are Forever;
Jill St. John;Tiffany Case;Diamonds Are Forever;
Charles Gray;Blofeld;Diamonds Are Forever;
Lana Wood;Plenty O'Toole;Diamonds Are Forever;
Jimmy Dean;Willard Whyte;Diamonds Are Forever;
Bruce Cabot;Saxby;Diamonds Are Forever;
Putter Smith;Mr. Kidd;Diamonds Are Forever;
Bruce Glover;Mr. Wint;Diamonds Are Forever;
Norman Burton;Leiter;Diamonds Are Forever;
Joseph Fürst;Dr Metz;Diamonds Are Forever;
Bernard Lee;M;Diamonds Are Forever;
Desmond Llewelyn;Q;Diamonds Are Forever;
Leonard Barr;Shady Tree;Diamonds Are Forever;
Lois Maxwell;Moneypenny;Diamonds Are Forever;
Margaret Lacey;Mrs. Whistler;Diamonds Are Forever;
Roger Moore;James Bond;Live and Let Die;
Yaphet Kotto;Kananga / Mr. Big;Live and Let Die;
Jane Seymour;Solitaire;Live and Let Die;
Clifton James;Sheriff Pepper;Live and Let Die;
Julius Harris;Tee Hee;Live and Let Die;
Geoffrey Holder;Baron Samedi;Live and Let Die;
David Hedison;Leiter;Live and Let Die;
Gloria Hendry;Rosie;Live and Let Die;
Bernard Lee;M;Live and Let Die;
Lois Maxwell;Moneypenny;Live and Let Die;
Tommy Lane;Adam;Live and Let Die;
Earl Jolly Brown;Whisper;Live and Let Die;
Roy Stewart;Quarrel;Live and Let Die;
Lon Satton;Strutter;Live and Let Die;
Arnold Williams;Cab Driver 1;Live and Let Die;
Roger Moore;James Bond;The Man with the Golden Gun;
Christopher Lee;Francisco Scaramanga;The Man with the Golden Gun;
Britt Ekland;Mary Goodnight;The Man with the Golden Gun;
Maud Adams;Andrea Anders;The Man with the Golden Gun;
Hervé Villechaize;Nick Nack;The Man with the Golden Gun;
Clifton James;Sheriff J.W. Pepper;The Man with the Golden Gun;
Richard Loo;Hai Fat;The Man with the Golden Gun;
Soon-Tek Oh;Lieutenant Hip;The Man with the Golden Gun;
Marc Lawrence;Rodney;The Man with the Golden Gun;
Bernard Lee;M;The Man with the Golden Gun;
