title;title_fr;year;duration;director
Dr. No;James Bond 007 contre Dr. No;1962;110;Terence Young
From Russia with Love;Bons baisers de Russie;1963;115;Terence Young
Goldfinger;;1964;110;Guy Hamilton
Thunderball;Opération Tonnerre;1965;130;Terence Young
You Only Live Twice;On ne vit que deux fois;1967;117;Lewis Gilbert
On Her Majestys Secret Service;Au service secret de Sa Majesté;1969;142;Peter R. Hunt
Diamonds Are Forever;Les diamants sont éternels;1971;101;Guy Hamilton
Live and Let Die;Vivre et laisser mourir;1973;121;Guy Hamilton
The Man with the Golden Gun;L'homme au pistolet d'or;1974;125;Guy Hamilton
The Spy Who Loved Me;L'espion qui m'aimait;1977;125;Lewis Gilbert
Moonraker;;1979;126;Lewis Gilbert
For Your Eyes Only;Rien que pour vos yeux;1981;127;John Glen
Octopussy;;1983;131;John Glen
A View to a Kill;Dangereusement vôtre;1985;131;John Glen
The Living Daylights;Tuer n'est pas jouer;1987;130;John Glen
Licence to Kill;Permis de tuer;1989;133;John Glen
GoldenEye;;1995;130;Martin Campbell
Tomorrow Never Dies;Demain ne meurt jamais;1997;119;Roger Spottiswoode
The World Is Not Enough;Le monde ne suffit pas;1999;128;Michael Apted
Die Another Day;Meurs un autre jour;2002;133;Lee Tamahori
Casino Royale;;2006;144;Martin Campbell
Quantum of Solace;;2008;106;Marc Forster
Skyfall;;2012;143;Sam Mendes
Spectre;007 Spectre;2015;148;Sam Mendes
Never Say Never Again;Jamais plus jamais;1983;134;Irvin Kershner
Casino Royale;;1983;134;Val Guest,Ken Hughes,John Huston,Joseph McGrath,Robert Parrish,Richard Talmadge
